Plant ID,Plant name (English),Plant name (other language),Country/Area,Status,Start date,Nominal crude steel capacity (ttpa),Nominal BOF steel capacity (ttpa),Nominal EAF steel capacity (ttpa),Nominal OHF steel capacity (ttpa),Other/unspecified steel capacity (ttpa),Nominal iron capacity (ttpa),Nominal BF capacity (ttpa),Nominal DRI capacity (ttpa),Other/unspecified iron capacity (ttpa),Total Capacity (ttpa),Owner,Latitude,Longitude
P100000120004,Kurum International Elbasan steel plant,Kurum Kombinati metalurgjik,Albania,mothballed,1998,700.0,,700.0,,,,,,,1400.0,Kurum International ShA,41.094611,20.026117
P100000120439,Algerian Qatari Steel Jijel plant,الجزائرية القطرية للصلب,Algeria,operating,2017,2200.0,,2200.0,,,2500,,2500,,4400.0,Algerian Qatari Steel,36.753961,6.24442
P100000120439,Algerian Qatari Steel Jijel plant,الجزائرية القطرية للصلب,Algeria,announced,2026,1800.0,,1800.0,,,2500,,2500,,3600.0,Algerian Qatari Steel,36.753961,6.24442
P100000120442,ETRHB Annaba steel plant,,Algeria,cancelled,unknown,1150.0,,1150.0,,,,,,,2300.0,ETRHB Industrie SpA,36.834412,7.45494
P100000121198,Ozmert Algeria Steel Plant,,Algeria,operating,unknown,800.0,,800.0,,,500,,500,,1600.0,Ozmert Algeria SARL,,
P100000120440,Sider El Hadjar Annaba steel plant,مركب الحجار للحديد والصلب,Algeria,operating,1969,2150.0,350.0,1800.0,,,1500,1500,,,4300.0,Groupe Industriel Sider SpA,36.795924,7.707633
P100000120440,Sider El Hadjar Annaba steel plant,مركب الحجار للحديد والصلب,Algeria,cancelled,1969,,,,,,2500,,2500,,0.0,Groupe Industriel Sider SpA,36.795924,7.707633
P100000120441,Tosyali Algerie Oran steel plant,شركة توسيالي الجزائرية التركية للحديد والصلب,Algeria,operating,2013,6200.0,,6200.0,,,5000,,5000,,12400.0,Tosyali Ironsteel Industry Algerie SpA,35.770912,-0.263031
P100000120005,Aceria Angola Bengo steel plant,,Angola,operating,2015,500.0,,,,500,,,,,500.0,Ada - Aceria De Angola SA,-8.5824,13.405271
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,,Angola,operating,2023-09-01 00:00:00,,,,,,96,96,,,0.0,Companhia Siderurgica do Cuchi SA,-14.650166,16.925606
P100000121215,Companhia Siderurgica do Cuchi pig iron plant,,Angola,announced,2025,,,,,,423,423,,,0.0,Companhia Siderurgica do Cuchi SA,-14.650166,16.925606
P100001042927,Tosyali Sonangol Kassinga Iron and Steel Plant,,Angola,announced,unknown,1000.0,,1000.0,,,1200,,1200,,2000.0,Sonangol EP; Tosyali Iron and Steel Angola SA,-15.263743,16.065494
P100000120006,ArcelorMittal Acindar Villa Constitución steel plant,Planta siderúrgica Acindar,Argentina,operating,1946,2000.0,,2000.0,,,600,,600,,4000.0,Acindar Industria Argentina de Aceros SA,-33.249936,-60.300415
P100000120009,Gerdau Sipar Pérez steel plant,Planta siderúrgica Gerdau Sipar Pérez,Argentina,operating,2017,650.0,,650.0,,,,,,,1300.0,Sipar Aceros SA,-32.9912336,-60.7588733
P100000120007,TenarisSiderca Campana steel plant,Planta siderúrgica TenarisSiderca,Argentina,operating,1960-07-25 00:00:00,1720.0,,1720.0,,,960,,960,,3440.0,Siderca SAIC,-34.152554,-58.977388
P100000120007,TenarisSiderca Campana steel plant,Planta siderúrgica TenarisSiderca,Argentina,retired,1960-07-25 00:00:00,530.0,,530.0,,,,,,,1060.0,Siderca SAIC,-34.152554,-58.977388
P100000120008,Ternium Siderar San Nicolás steel plant,"Ternium Planta Savio, Somisa (Sociedad Mixta Siderurgia Argentina) (predecessor)",Argentina,operating,1960,3501.0,3501.0,,,,4015,4015,,,7002.0,Ternium Argentina SA,-33.37365,-60.138697
P100000120012,BlueScope Port Kembla steel plant,,Australia,operating,1928,3200.0,3200.0,,,,,,,,6400.0,BlueScope Steel Ltd,-34.463834,150.886191
P100000120012,BlueScope Port Kembla steel plant,,Australia,mothballed,1928,,,,,,3000,3000,,,0.0,BlueScope Steel Ltd,-34.463834,150.886191
