Owner,Latitude,Longitude,Total Capacity (ttpa),Number of Plants,avg_env,n_plants_with_env,total_capacity
A. Finkl & Sons Corp,41.724915,-87.589968,1146.0,1,,0.0,1146.0
ABA Çelik Demir LŞ,36.747413,36.21733,2200.0,1,,0.0,2200.0
AFV Acciaierie Beltrame SpA,45.522097,11.499295,2400.0,1,,0.0,2400.0
AG Siderurgica Balboa SA,38.326405,-6.767326,2600.0,1,,0.0,2600.0
AG der Dillinger Hüttenwerke AG,49.353884,6.746603,11820.0,1,,0.0,11820.0
ALPA - Aciéries et Laminoirs de Paris SAS,48.983515,1.76245,1400.0,1,,0.0,1400.0
AM/NS Calvert LLC,31.148446,-87.990521,6000.0,1,,0.0,6000.0
Abba Steel Ltd,-17.397866,15.891022,6000.0,1,,0.0,6000.0
Abinski Elektrometallurgicheski Zavod LLC,44.881938,38.12751,3100.0,1,,0.0,3100.0
Abu Dhabi National for Building Materials Co PJSC,24.37872,54.475153,2000.0,1,,0.0,2000.0
Abul Khair Steel Ltd,22.472008,91.734827,2800.0,1,,0.0,2800.0
Acciai Speciali Terni SpA,42.564752,12.66936,2900.0,1,,0.0,2900.0
Acciaieria Arvedi SpA,45.145949,9.950821,8600.0,1,,0.0,8600.0
Acciaierie Bertoli Safau SpA,46.008483,13.255117,2200.0,1,,0.0,2200.0
Acciaierie Venete SpA,45.70568033333333,11.185377666666668,3480.0,3,,0.0,3480.0
Acciaierie d'italia SpA,40.508993,17.207589,20600.0,1,,0.0,20600.0
Acciaierie di Calvisano SpA,45.371651,10.331967,1200.0,1,,0.0,1200.0
Acciaierie di Sicilia SpA,37.438448,15.03287,1000.0,1,,0.0,1000.0
Acciaierie di Verona SpA,45.42882,11.000861,2500.0,1,,0.0,2500.0
Acerinox Europa SAU,36.181686,-5.426626,2400.0,1,,0.0,2400.0
Aceros AZA SA,-33.294729,-70.727881,1040.0,1,,0.0,1040.0
Aceros Especiales Simec Tlaxcala SA de CV,20.749476,-99.50398949999999,3912.0,2,,0.0,3912.0
Acindar Industria Argentina de Aceros SA,-33.249936,-60.300415,4000.0,1,,0.0,4000.0
Aco Verde do Brasil SA,-4.874373,-47.4073517,1200.0,1,,0.0,1200.0
Action Ispat and Power Pvt Ltd,21.839759,83.982227,7500.0,1,5.689952463411906e-07,72.0,270000.0
Ada - Aceria De Angola SA,-8.5824,13.405271,500.0,1,,0.0,500.0
Adhunik Metaliks Ltd,22.308371,84.763584,1000.0,1,1.862246317522238e-07,36.0,36000.0
African Natural Resources & Mines Ltd,9.462715,7.368,1000.0,1,,0.0,1000.0
Agha Steel Industries Ltd,24.841851,67.310159,900.0,1,,0.0,900.0
Ahya Steel Folad Baft Co,29.289109,56.490707,0.0,1,,0.0,0.0
Aichi Steel Corp,35.044558,136.900772,2990.0,1,,0.0,2990.0
Ajaokuta Steel Co Ltd,7.511336,6.689364,2600.0,1,,0.0,2600.0
Aktobe Generatsiya LLC,50.355117,57.145119,1636.0,1,,0.0,1636.0
Al Anmaa for Construction Materials Production Ltd,30.218529,47.827362,1470.0,1,,0.0,1470.0
Al Atoun Steel Industries,24.029,38.180077,1820.0,1,,0.0,1820.0
Al Ezz Dekheila Steel Company Alexandria SAE,31.123467,29.80987,6400.0,1,,0.0,6400.0
Al Ezz Flat Steel Company SAE,29.692045,32.322117,7800.0,1,,0.0,7800.0
Al Qaryan Steel Co,26.280741,49.956755,500.0,1,,0.0,500.0
AlGioshy Steel SAE,29.6752173,32.3028163,1000.0,1,,0.0,1000.0
Alchevsk Metallurgical Plant PJSC,48.47811099999999,38.770787,10944.0,1,,0.0,10944.0
Alfa Acciai SpA,45.508698,10.248464,4000.0,1,,0.0,4000.0
Algerian Qatari Steel,36.753961,6.24442,8000.0,1,,0.0,8000.0
Algoma Steel Group Inc,46.51898400000001,-84.374068,13800.0,1,,0.0,13800.0
Alliance Steel (M) Sdn Bhd,4.007595,103.344458,13500.0,1,,0.0,13500.0
Alton Steel Inc,38.884465,-90.14579,1360.0,1,,0.0,1360.0
Altos Hornos de Mexico SAB de CV,26.876889,-101.416612,11000.0,1,,0.0,11000.0
Amir Kabir Arak Steel Co,37.164815,49.595132,1026.0,1,,0.0,1026.0
Amreli Steels Ltd,24.800326,67.504851,1000.0,1,,0.0,1000.0
Amsteel Mills Sdn Bhd,2.93834,101.5287635,7200.0,2,,0.0,7200.0
Amurstal LLC,50.563131,136.976362,6000.0,1,,0.0,6000.0
Andrade Valladares Engenharia e Construcao Ltda,-4.887877,-47.392157,0.0,1,,0.0,0.0
Angang Lianzhong Stainless Steel Corp,23.126822,113.505817,3800.0,1,1.8127670125251789e-06,36.0,136800.0
Angang Steel Co Ltd,41.03349325,122.11672025,67400.0,3,3.906088186594459e-06,144.0,2426400.0
Anhui Changjiang Steel Co Ltd,31.502272,118.465162,7600.0,1,2.261986256009566e-07,36.0,273600.0
Anhui Guihang Special Steel Co Ltd,30.531068,117.251147,5400.0,1,1.7794022016488814e-07,36.0,194400.0
Anhui Jin'an Stainless Steel Foundry Co Ltd,31.763956,115.924372,1000.0,1,1.395236709205443e-08,36.0,36000.0
Anhui Jingxian Longxin Iron and Steel Co Ltd,30.709058,118.436638,2000.0,1,2.0509678047357988e-07,72.0,72000.0
Anhui Langxi County Fuhang Steel Co Ltd,31.246635,119.120443,4200.0,1,1.3798701645296165e-07,72.0,151200.0
